2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7aeeb911 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@46cc1f0b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5c329dc9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@26a3148 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b5154c1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@54b2c50e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2e268c0d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4dbf556f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5c4de32f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e95c71d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4496626 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@33ea4fed (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:56:40 |WARN  |http-nio-8160-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8d8624 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
