2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a92f00c1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5883740d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b78c4d64 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9061fd0e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c8e087c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:43:37 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@fadcae4d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:43:37 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b3315204 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:43:37 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@cf599497 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:43:37 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@27fa4e09 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:43:37 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1d7c494 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
