2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@29d9eaa4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b3c11d4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5676a7dc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@29ddc4b6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@10287f28 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@715df219 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@12f6e3a9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@55496d35 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@64b898b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@18986e61 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:11:09 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3dd63d70 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:17:56 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@79350d1d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:17:56 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@36f5222b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:17:56 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b5624f2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:17:56 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6569e696 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:17:56 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7080b0bd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
